,x,y,target
0,1.0,7.9,0
1,4.63,20.53,1
2,3.32,18.03,1
3,1.1,7.5,0
4,3.79,22.84,1
5,4.82,22.27,1
6,0.2,14.8,0
7,2.24,20.94,1
8,4.76,24.77,1
9,0.9,0.7,0
10,1.59,22.08,1
11,3.12,22.89,1
12,2.0,6.3,0
13,4.64,23.87,1
14,3.56,12.25,1
15,2.2,14.2,0
16,4.26,20.15,1
17,4.16,17.17,1
18,0.0,13.9,0
19,4.92,24.71,1
20,4.44,22.21,1
21,1.8,14.5,0
22,3.56,23.65,1
23,4.05,13.17,1
24,1.8,19.2,0
25,2.69,21.96,1
26,4.89,18.26,1
27,0.1,2.0,0
28,3.96,20.85,1
29,4.9,24.74,1
30,0.2,8.2,0
31,1.88,22.88,1
32,4.01,7.99,1
33,0.3,8.2,0
34,1.44,24.1,1
35,3.61,5.52,1
36,0.7,14.8,0
37,1.77,24.12,1
38,4.59,12.14,1
39,0.6,1.0,0
40,3.03,22.9,1
41,4.68,6.72,1
42,0.4,9.5,0
43,4.12,20.79,1
44,4.02,20.52,1
45,2.1,2.0,0
46,3.15,20.71,1
47,4.67,5.36,1
48,0.4,16.3,0
49,4.27,20.17,1
50,3.18,23.11,1
51,2.3,12.9,0
52,3.67,23.28,1
53,3.5,12.26,1
54,0.5,12.9,0
55,4.15,24.56,1
56,3.61,15.88,1
57,0.1,11.3,0
58,3.66,24.85,1
59,3.69,22.68,1
60,2.2,14.2,0
61,3.34,21.93,1
62,3.39,10.85,1
63,1.5,15.1,0
64,3.17,20.64,1
65,4.61,16.18,1
66,0.6,8.4,0
67,2.63,21.15,1
68,4.68,22.64,1
69,0.4,4.0,0
70,4.15,21.51,1
71,4.77,21.77,1
72,2.2,9.9,0
73,3.84,24.26,1
74,3.68,22.56,1
75,0.0,17.1,0
76,1.08,23.7,1
77,3.38,5.45,1
78,1.5,11.1,0
79,4.49,24.94,1
80,4.15,11.42,1
81,2.2,2.5,0
82,4.44,21.24,1
83,4.03,18.01,1
84,0.9,11.3,0
85,3.14,22.04,1
86,3.5,22.36,1
87,1.5,10.6,0
88,2.74,24.96,1
89,3.85,8.73,1
90,1.9,2.6,0
91,4.77,21.81,1
92,4.05,17.74,1
93,0.5,15.0,0
94,4.22,20.41,1
95,4.09,13.87,1
96,2.4,2.2,0
97,4.73,22.16,1
98,4.8,10.0,1
99,0.2,15.7,0
100,4.94,22.3,1
101,4.93,13.69,1
102,2.3,2.2,0
103,4.74,24.15,1
104,4.4,22.5,1
105,0.6,2.6,0
106,2.5,23.22,1
107,3.27,11.2,1
108,1.9,2.6,0
109,3.58,21.2,1
110,3.47,12.94,1
111,1.7,8.5,0
112,1.6,20.31,1
113,4.17,23.23,1
114,0.3,17.1,0
115,3.5,20.34,1
116,3.62,5.08,1
117,1.5,14.1,0
118,3.28,23.62,1
119,4.62,11.1,1
120,2.1,13.0,0
121,1.62,22.32,1
122,4.19,18.66,1
123,1.4,13.2,0
124,4.67,24.93,1
125,4.93,19.75,1
126,1.5,7.3,0
127,2.82,23.53,1
128,4.95,24.39,1
129,1.6,4.7,0
130,2.96,21.71,1
131,3.08,14.69,1
132,1.9,9.7,0
133,2.93,20.75,1
134,3.05,10.23,1
135,2.5,8.4,0
136,2.03,24.54,1
137,4.83,17.63,1
138,2.2,6.0,0
139,1.85,21.87,1
140,4.01,11.02,1
141,1.0,15.4,0
142,3.42,22.68,1
143,4.48,6.76,1
144,0.8,12.9,0
145,2.44,24.78,1
146,3.72,7.17,1
147,2.4,0.3,0
148,2.78,22.76,1
149,3.51,23.91,1
150,2.4,1.7,0
151,1.69,24.99,1
152,3.16,5.15,1
153,1.3,4.7,0
154,2.09,24.57,1
155,3.29,16.47,1
156,0.4,5.0,0
157,4.06,20.06,1
158,3.18,9.27,1
159,2.3,14.1,0
160,4.97,22.66,1
161,3.41,17.99,1
162,0.9,17.1,0
163,2.13,22.03,1
164,3.41,9.43,1
165,0.8,11.5,0
166,3.26,21.28,1
167,4.58,5.41,1
168,0.0,15.2,0
169,3.3,20.3,1
170,4.74,23.94,1
171,0.9,5.8,0
172,4.34,22.21,1
173,3.68,9.89,1
174,1.7,15.9,0
175,3.75,22.33,1
176,3.24,8.7,1
177,2.2,0.5,0
178,1.63,21.23,1
179,4.2,22.77,1
180,1.8,10.1,0
181,1.7,21.95,1
182,3.42,23.97,1
183,2.1,0.1,0
184,4.34,22.58,1
185,4.66,19.98,1
186,0.0,12.5,0
187,1.42,23.63,1
188,3.69,13.09,1
189,0.3,12.3,0
190,3.24,21.22,1
191,4.61,12.0,1
192,1.8,8.7,0
193,2.03,21.93,1
194,3.14,7.5,1
195,2.2,14.3,0
196,1.59,24.95,1
197,3.01,19.53,1
198,0.5,5.1,0
199,1.12,24.15,1
200,3.8,10.72,1
201,0.4,12.7,0
202,4.74,21.94,1
203,4.1,8.15,1
204,0.5,12.3,0
205,4.79,23.35,1
206,4.8,7.49,1
207,1.6,2.4,0
208,3.02,22.25,1
209,3.34,17.15,1
210,0.8,10.7,0
211,2.71,21.16,1
212,4.95,12.22,1
213,0.0,11.2,0
214,4.42,23.09,1
215,4.58,17.74,1
216,0.9,8.9,0
217,3.62,24.96,1
218,3.46,10.75,1
219,1.9,18.2,0
220,2.56,24.64,1
221,3.26,7.45,1
222,1.7,2.8,0
223,2.73,20.5,1
224,4.67,24.33,1
225,2.2,5.0,0
226,3.14,23.61,1
227,3.84,17.9,1
228,1.4,4.8,0
229,4.16,20.51,1
230,3.51,6.17,1
231,2.3,18.5,0
232,4.84,23.63,1
233,4.7,12.97,1
234,0.3,16.1,0
235,1.01,21.37,1
236,4.59,12.14,1
237,1.5,7.2,0
238,4.85,24.58,1
239,4.58,7.94,1
240,0.5,8.3,0
241,3.53,21.56,1
242,3.14,11.35,1
243,1.2,12.3,0
244,2.6,24.49,1
245,3.17,24.31,1
246,1.9,4.0,0
247,1.74,23.53,1
248,3.81,14.03,1
249,1.2,3.6,0
250,2.86,22.53,1
251,3.43,24.67,1
252,0.4,3.9,0
253,3.82,24.64,1
254,4.38,9.96,1
255,1.6,3.1,0
256,1.4,22.07,1
257,4.24,14.05,1
258,2.4,16.8,0
259,3.52,20.59,1
260,4.45,6.15,1
261,0.2,15.8,0
262,2.45,20.57,1
263,3.79,6.72,1
264,0.7,0.9,0
265,1.7,22.75,1
